Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time","Lesson 2-result","Lesson 2-date and time","Lesson 3-result","Lesson 3-date and time","Kaizen Test-result","Kaizen Test-date and time"
Arivu,Video,"Lesson 1",V-2.1.3,20%,"2019-12-27 09:39:08",-,-,-,-,-,-
Arivu,Video,"Lesson 1",V-2.1.2,20%,"2019-12-27 09:39:35",-,-,-,-,-,-
Arivu,Video,"Lesson 1",V-2.1.1,100%,"2019-12-14 07:10:42",-,-,-,-,-,-
Arivu,Video,"Lesson 2",V-2.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
Arivu,Video,"Lesson 2",V-2.2.2,-,-,10%,"2020-01-06 10:16:00",-,-,-,-
Arivu,Video,"Lesson 2",V-2.2.1,-,-,10%,"2020-01-06 10:13:08",-,-,-,-
Arivu,Video,"Lesson 3",V-2.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
Arivu,Video,"Lesson 3",V-2.3.2,-,-,-,-,10%,"2020-01-06 10:16:57",-,-
Arivu,Video,"Lesson 3",V-2.3.1,-,-,-,-,10%,"2020-01-06 10:16:24",-,-
Arivu,Video,"Kaizen Test",-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-
Arivu,quiz,"Kaizen Test","Kaizen Quiz",-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:39:21",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:39:52",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
Arivu,questionnaire,"Kaizen Test",-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 1",-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 2",-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 3",-,-,-,-,-,-,-,-,-
Arivu,report,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts1,Video,"Lesson 1",V-2.1.3,20%,"2019-12-27 09:43:18",-,-,-,-,-,-
ts1,Video,"Lesson 1",V-2.1.2,20%,"2019-12-27 09:43:45",-,-,-,-,-,-
ts1,Video,"Lesson 1",V-2.1.1,0%,"2019-12-27 09:41:57",-,-,-,-,-,-
ts1,Video,"Lesson 2",V-2.2.3,-,-,0%,"2019-12-27 09:45:50",-,-,-,-
ts1,Video,"Lesson 2",V-2.2.2,-,-,20%,"2019-12-27 09:45:12",-,-,-,-
ts1,Video,"Lesson 2",V-2.2.1,-,-,20%,"2019-12-27 09:44:38",-,-,-,-
ts1,Video,"Lesson 3",V-2.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts1,Video,"Lesson 3",V-2.3.2,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts1,Video,"Lesson 3",V-2.3.1,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts1,Video,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-
ts1,quiz,"Kaizen Test","Kaizen Quiz",-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
ts1,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:43:01",-,-,-,-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,○,"2019-12-27 03:44:19",-,-,-,-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,○,"2019-12-27 03:44:57",-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 1",-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 2",-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 3",-,-,-,-,-,-,-,-,-
ts1,report,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts2,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,Video,"Lesson 1",V-2.1.2,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,Video,"Lesson 1",V-2.1.1,10%,"2019-12-26 11:18:03",-,-,-,-,-,-
ts2,Video,"Lesson 2",V-2.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
ts2,Video,"Lesson 2",V-2.2.2,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
ts2,Video,"Lesson 2",V-2.2.1,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
ts2,Video,"Lesson 3",V-2.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts2,Video,"Lesson 3",V-2.3.2,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts2,Video,"Lesson 3",V-2.3.1,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts2,Video,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-
ts2,quiz,"Kaizen Test","Kaizen Quiz",-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts2,questionnaire,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts2,report,"Lesson 1",-,-,-,-,-,-,-,-,-
ts2,report,"Lesson 2",-,-,-,-,-,-,-,-,-
ts2,report,"Lesson 3",-,-,-,-,-,-,-,-,-
ts2,report,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts3,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
